DomainName	Company	Category	Description	
dealtime.com	Dealtime	Price Comparison	DealTime helps you save time and money every time you shop online. DealTime has it all; millions of products, unbiased reviews and the comparison tools you need to find great deals.	
demandbase.com	DemandBase Inc.	Marketing Platform	The first-ever target account marketing platform for B2B marketers. Key in on your key targets like never before.	
demdex.net	Demdex (Adobe)	Tracking	Demdex provides Audience Management solutions for powering dynamic, multi-channel data strategies online. Having pioneered the SaaS Audience Management market since 2008, Demdex&#039;s services are continually being embraced by some of the world&#039;s most recognized brands across diverse industries. As the best alternative to homegrown systems which are expensive to build, operate and maintain, Demdex&#039;s enterprise-level technology provides the scale, reliability, insight and performance necessary for businesses to succeed online.	
devatics.com	Devatics	Web Personalization	The Devatics technology allows marketers to be flexible in optimising sales, that previously has shown increases of over 20%. Every month, more than 10 million visitors enjoy a real time personalized visit, courtesy of Devatics technology!	
developer.android.com	Google	Development Resources	The official site for Android developers. Provides the Android SDK and documentation for app developers and designers.	
dianomi.com	dianomi	Financial Content Marketing	dianomi is dedicated to connecting premium financial advertisers with an affluent audience who are looking to discover valuable financial content, be it a guide, report, article or video, enabling them to make better informed financial decisions.	
digitalscirocco.net	DigitalScirocco Inc. 	CDN	DigitalScirocco assembles and places personalized, relevant, and complementary sets of content for each page view.	
displaymarketplace.com	Pulsepoint Inc	Marketing Platform	PulsePoint helps brands engage the right consumers at scale by fusing the science of programmatic distribution with the art of content marketing.	
disqus.com	Disqus Inc.	Community & Discussion	If you&#039;re passionate about writing and sharing, Disqus helps you build a community of active readers and commenters.	
disquscdn.com	Disqus Inc.	Community & Discussion	If you&#039;re passionate about writing and sharing, Disqus helps you build a community of active readers and commenters.	
dl-rms.com	Dynamic Logic	Advertising	An online research company that specializes in measuring the effectiveness of online communications.	
dmtry.com	Adomotry by Google	Analytics	Adometry solves a problem that the world's top advertisers and agencies face everyday: How do I know what is really influencing customer conversions? We enable marketers to reach higher and achieve more in their advertising campaigns than previously possible. Whether the goal is increased conversions or a more efficient approach, Adometry clients experience a level of success that is both significant and enduring.	
domdex.com	Magnetic	Advertising	Magnetic enables advertisers to reach new and existing customers through search retargeting and other data-driven advertising strategies.	
dotomi.com	Conversant	Analytics	At Conversant our mission is simple - help marketers drive deep consumer engagement and profound brand growth by building personal connections with individuals. One at a time, by the millions. We are transforming digital marketing by empowering leading brands to engage in one-to-one conversations with each of their customers and prospects. We can help virtually any brand leverage the power of personalization to improve marketing results. Every brand and every buyer has unique needs and objectives. Conversant offers different solutions that can be tailored to meet any advertiser's specific goals and budget.	
doubleclick.net	Google	Advertising	Doubleclick is a business owned by Google that makes it money from online advertisers and publishers.	
doubleverify.com	DoubleVerify	Advertising (Video)	Delivering accountable performance in a brand safe environment is critical to the growth of digital advertising. DV is the proven market innovator with the technology and insights that assure brand performance and effectiveness for the world’s largest advertisers online.	
dowjones.com	Dow Jones	Financial Content Marketing	Dow Jones publishes the world’s most trusted business news and financial information in a variety of media. It delivers breaking news, exclusive insights, expert commentary and personal finance strategies.	
dowjoneson.com	Dow Jones	Business News	Dow Jones publishes the worlds most trusted business news and financial information in a variety of media. It delivers breaking news, exclusive insights, expert commentary and personal finance strategies.	
drct2u.com	J.D. Williams & Co Limited	CDN	A domain used by JD Williams to serve content relating to their products across multiple websites.	
drtvtracker.com	Piwik	Analytics	Piwik is the leading open source web analytics platform that gives you valuable insights into your website&#039;s visitors, your marketing campaigns and much more, so you can optimize your strategy and online experience of your visitors.	
dtmpub.com	Conversant	Analytics	At Conversant our mission is simple - help marketers drive deep consumer engagement and profound brand growth by building personal connections with individuals. One at a time, by the millions. We are transforming digital marketing by empowering leading brands to engage in one-to-one conversations with each of their customers and prospects. We can help virtually any brand leverage the power of personalization to improve marketing results. Every brand and every buyer has unique needs and objectives. Conversant offers different solutions that can be tailored to meet any advertiser's specific goals and budget.	
dwin1.com	Digital Window Ltd.	Tracking	Affiliate network offering tracking and management solutions for maintaining an affiliate program.	
dynamicconverter.com	Dynamic Converter	Currency Conversion	Dynamic Converter multi-currency display allows you to show your prices in multiple currencies.	
e.invodo.com	Invodo	Advertising (Video)	Measure the ability to engage and convert shoppers using data and analytics with Invodo video for e-commerce.	
easypolls.net	ObjectPlanet	Market Research (Surveys)	Create free online polls using the intuitive and easy-to-use EasyPolls.net from ObjectPlanet. You can share your polls on Facebook, Twitter, or embed the poll on your page. You can create web polls for free in minutes.	
eccmp.com	Experian	Geo-location	Experian's new Cross-Channel Marketing Platform provides the world's leading brands with the ability to develop full-service marketing campaigns for a wide range of media.	
ecommercefeed.net	ecommercefeed.net	Marketing Platform	A White Label Ecommerce Marketing Platform. An easy way to provide ecommerce marketing services to your clients.	
ecustomeropinions.com	eDigital Research	Surveys	eDigitalSurvey is a fast, cost-effective method of getting accurate feedback from your online, mobile or high street customers - so you can create an improved customer experience, increase conversion, reduce churn and foster brand advocacy.	
edge-cdn.net	MovingIMAGE24	Video Platform (Streaming)	The innovative Managed Video Platform of MovingIMAGE24 allows you to publish videos quickly and flexibly on nearly any internet-capable device.Via the web browser you are hosting your videos, embed them in websites and stream them in superior quality. A highly developed video technology enables the supply of your videos on online portals, intranet or social networks - without any additional software. Last but not least the integration in all common systems (CMS, DAM, PIM) is assured by means of the API. Distribute and manage your video files in compliance with the highest security standards and start to optimize your workflows.	
edgecastcdn.net	EdgeCast Networks Inc. (Verizon)	CDN	EdgeCast's CDN is the world's fastest and most reliable content delivery network. Speed up your website, stream unlimited video, and scale globally instantly.	
edgekey.net	Akamai Technologies	CDN	Trusted by leading brands, Akamai's Intelligent Platform provides the ubiquity required to scale reliably and to quickly adapt to changes. The Akamai Intelligent Platform is the leading cloud platform for delivering secure, high-performing user experiences to any device, anywhere. It reaches globally and delivers locally. The platform is made up of a distributed network of servers and intelligent software, delivering over two trillion interactions daily. No one delivers more Web traffic than Akamai and 90% of Internet users are a single network hop away. The Akamai Intelligent Platform is constantly monitoring Web conditions.	
edgesuite.net	Akamai Technologies	CDN	Trusted by leading brands, Akamai's Intelligent Platform provides the ubiquity required to scale reliably and to quickly adapt to changes. The Akamai Intelligent Platform is the leading cloud platform for delivering secure, high-performing user experiences to any device, anywhere. It reaches globally and delivers locally. The platform is made up of a distributed network of servers and intelligent software, delivering over two trillion interactions daily. No one delivers more Web traffic than Akamai and 90% of Internet users are a single network hop away. The Akamai Intelligent Platform is constantly monitoring Web conditions.	
edigitalresearch.com	eDigitalResearch	Analytics	Leading provider of digital market research, helping businesses to grow by building bespoke insight programmes with passionate researchers, technical specialists and graphic designers all under one roof.	
edigitalsurvey.com	eDigitalResearch	Surveys	Leading provider of digital market research, helping businesses to grow by building bespoke insight programmes with passionate researchers, technical specialists and graphic designers all under one roof.	
edot.co.za	Edot Web Technologies	Web Design	Leading provider of professional web design, content management systems and e-commerce development since 1999 in Johannesburg South Africa"	
effectivemeasure.net	Effective Measure	Advertising	Effective Measure is a leading provider of digital audience, brand and advertising effectiveness measurement and targeting solutions, bringing best practice online measurement data to premium publishers, agencies, networks, advertisers and researchers.	
egain.com	eGain	Analytics	eGain provides multichannel and channel specific analytics that enable companies to design customer journeys and optimize their sales and service performance.	
ehosts.net	eHost	Internet Hosting	Small business web hosting offering additional business services such as: domain name registrations, email accounts, web services, FrontPage help, online community resources and various small business solutions.	
ekmpinpoint.co.uk	ekmsystems Ltd.	Tracking	An easy to use Invisible Web tracker, Hit Counter and Web Statistics system.	
elicitapp.com	Elicit Inc.	Site Search	Every keystroke is an opportunity. elicit gives marketers control over the single most-used feature on a website.	
eloqua.com	Oracle Corporation	Marketing Platform	Transform the way you approach sales and marketing with Eloqua&#039;s leading marketing automation and revenue performance management solutions for the Marketing Cloud.	
emediate.dk	Cxense 	Advertising	EmediateAd is the Ad Serving solution that boosts the revenue of  publishers&#039; digital advertising. Designed for publishers of all sizes or networks with multiple websites and platforms, EmediateAd offers a tailor-made setup with a high degree of support.	
emediate.eu	Cxense	Advertising	EmediateAd is the Ad Serving solution that boosts the revenue of  publishers&#039; digital advertising. Designed for publishers of all sizes or networks with multiple websites and platforms, EmediateAd offers a tailor-made setup with a high degree of support.	
en25.com	Oracle Corporation	Marketing Platform	Transform the way you approach sales and marketing with Eloqua&#039;s leading marketing automation and revenue performance management solutions for the Marketing Cloud.	
ensighten.com	Ensighten	Tag Management	Ensighten offers the industrys first Real-Time Enterprise Tag Management System built for the needs of sophisticated enterprise websites.	
eqads.com	EQ works	Advertising	EQ Works is a North American leader in targeted mobile, web, social and video advertising and digital marketing solutions. A smarter way to target customers.	
estara.com	Oracle Corporation	Marketing Platform	Oracle acquired Art Technology Group (ATG), a leading provider of eCommerce software and related on demand commerce optimization applications, in 2010. ATG&#039;s solutions enable enterprises to provide a cohesive online customer experience with sophisticated merchandising, marketing, content personalization, automated recommendations, and live-help services.	
etracker.de	etracker GmbH	Web Personalization	Web analytics and website optimisation solutions for every business model. Fast and easy integration	
eum-appdynamics.com	AppDynamics	Performance	Get an integrated view of real-time application performance, user experiences, and infrastructure capacity.	
everestjs.net	Adobe Systems Incorporated	CDN JSLib	Everest.js, an industrial-strength client-info-sniffing JavaScript library that stands for: Everything you always wanted to know about your client ... and weren&#039;t afraid to request.	
everesttech.net	Adobe Systems Incorporated	Advertising	Adobe is changing the world through digital experiences. We help our customers create, deliver, and optimize content and applications.	
evisitanalyst.com	Maxsi Ltd.	Analytics	eVisit Analyst is a comprehensive analytics product used by retail, banking, higher education and local government websites. By giving you the power to see how visitors are using your site, eVisit Analyst enables you to improve visitor interaction, smooth out sticking points in your visitor paths and raise your ROI on online marketing. eVisit Analyst can offer a JavaDcript tagging solution that does not rely on cookies or log files to function but still provides a full suite of advanced web analytics reporting.	
exelator.com	eXelate	Analytics	eXelate is the smart data and technology company that powers smarter digital marketing decisions worldwide. eXelate exists to make digital media more relevant for consumers and more effective for marketers. Through software and data services, eXelate provides centralized data management, better consumer insights and more accurate ad targeting across all platforms.	
experian.com	Experian	Credit Reports	We are the leading global information services company, providing data and analytical tools to our clients around the world. We help businesses to manage credit risk, prevent fraud, target marketing offers and automate decision making. We also help people to check their credit report and credit score, and protect against identity theft.	
exponential.com	Exponential Interactive Inc.	Advertising	Exponential Interactive is a global provider of advertising intelligence and digital media solutions to brand advertisers.	
extole.com	Extole Inc.	Loyalty and Referral Marketing	Extole has powered successful referral programs for 300+ brands. Our platform distills years of experience and millions of conversions.	
extreme-dm.com	eXTReMe digital	Analytics	Learn about the visitors of your website. Collect Information. Find Patterns. Understand.	
eyeota.net	Eyota Limited	Advertising	Eyeota helps publishers maximize their audience data revenues, and empowers advertisers to target the exact audience they want.	
eyereturn.com	eyeReturn Marketing 	Marketing Platform	Eyereturn Marketing builds and delivers technology that integrates each part of your digital advertising campaign in one system, in real-time. From ad serving to optimization and real-time bidding to fraud verification.	
eyeviewads.com	EyeView Inc.	Advertising	Eyeview is the world’s leading personalized video solutions provider. We create and execute broadcast-quality online video campaigns from start to finish. By transforming brand assets into limitless personalized video messages and targeting each one of them to the right person at the right time and place, we help marketers move products off shelves and drive increased returns on ad spend and sales.	
facebook.com	Facebook	Social Media	Facebook is a social utility that connects people with friends and others who work, study and live around them.	
facebook.net	Facebook	Social Media	Facebook is a social utility that connects people with friends and others who work, study and live around them.	
fastclick.net	Conversant	Advertising	As the industry leader in personalized digital marketing, there's always something happening at Conversant. See what's newsworthy about our latest technological advancements and innovations, recent business acquisitions, industry thought leadership and our ongoing participation in consumer rights advocacy.	
fastly.net	Fastly	CDN	We're the smartest CDN on the planet. That means microsecond response. Unheard of extensibility. Flexibility.	
fbcdn-profile-a.akamaihd.net	Facebook	Social Media	Facebook domain hosted on the Akamai Technologies&#039; leading cloud platform for media and content delivery, application performance, and Web security.	
fbcdn.net	Facebook	Social Media	Facebook helps you connect and share with the people in your life.	
fbstatic-a.akamaihd.net	Facebook	Social Media	Facebook domain hosted on the Akamai Technologies&#039; leading cloud platform for media and content delivery, application performance, and Web security.	
feedbackify.com	InsideMetrics Limited	Analytics	Your site visitors can come up with some really great suggestions. Feedbackify allows their valuable contributions to be heard without the risk of a vocal minority dictating the future direction of your products or services to the detriment of the silent majority, or your business objectives.	
feedburner.com	Google	Newsfeed Provider	FeedBurner is a web feed management provider launched in 2004. 	
feefo.com	Feefo Holdings Ltd.	Opinions and Reviews	Global ratings and reviews provider, offering genuine feedback as used by the world's most trusted brands.	
fetchback.com	eBay Inc	Advertising	At eBay Enterprise Display and Retargeting (formerly Fetchback), our goal is to provide you with customized campaigns, world-class tools and unmatched expertise to help you every step of the way. You&#039;ll have access to our award-winning creative team, high-touch account management and expert optimization to help grow your brand and ensure your success.	
fiftyone.com	Borderfree	ECommerce Solution	Top brands rely on Borderfree&#039;s global ecommerce solutions, from international logistics and fulfillment to marketing partnerships and strategies.	
fimserve.com	The Rubicon Project	Advertising	Rubicon Project is a leading technology company automating the buying and selling of advertising.	
five.tv	Channel 5 Media	Advertising	Channel 5 is a television network that broadcasts in the United Kingdom. It was launched in 1997, and was the fifth and final national terrestrial network.	
flashtalking.com	Simplicity Marketing Ltd	Advertising	Flashtalking is an independent ad serving, tracking and technology company, providing best-in-class digital advertising products, service and support for online.	
flickr.com	Flickr	Photographic Gallery	Flickr is almost certainly the best online photo management and sharing application in the world. Show off your favorite photos and videos to the world, securely and privately show content to your friends and family, or blog the photos and videos you take with a cameraphone.	
flowplayer.org	Flowplayer Ltd	CDN Video	Flowplayer lets you unleash the full power of HTML5 video. From video encoding and streaming to beautiful playback on all devices. All from one simple, yet powerful user interface.	
fls.doublecclick.net	Google	Tag Management	DoubleClick Floodlight allows businesses to use their online advertisements to monitor the viability of their campaign through the tracking of viewers and those who click on the ads. By using Floodlight capabilities, companies will be able to get an accurate picture of how viewers of their ads behave and how well a campaign may be performing. Tag Management is performed using Google Tag Manager.	
flx1.com	FlxOne	Advertising	FlxOne is a data management platform (DMP) for real-time advertising. Our mission is to help our clients leverage their data across the full advertising workflow to maximize efficiency and ROI, while keeping control of their data.	
flxpxl.com	FlxOne	Advertising	FlxOne is a data management platform (DMP) for real-time advertising. Our mission is to help our clients leverage their data across the full advertising workflow to maximize efficiency and ROI, while keeping control of their data.	
fontdeck.com	Fontdeck LLC	CDN Fonts	Fontdeck is standards compliant, accessible and uses a pure CSS @font-face solution. No JavaScript required.	
fonts.com	Monotype	CDN Fonts	Fonts.com provides the biggest and best selection of high quality desktop and web fonts. Try, buy and download classics like Helvetica, Univers, Frutiger, Trade Gothic and Avenir along with popular new fonts like Soho and Neo. Find your type!	
fonts.googleapis.com	Google	CDN Fonts	Google Fonts provides high-quality fonts that you can include in your pages using the Google Fonts API.	
fonts.net	Monotype	CDN Fonts	Fonts.com provides the biggest and best selection of high quality desktop and web fonts. Try, buy and download classics like Helvetica, Univers, Frutiger, Trade Gothic and Avenir along with popular new fonts like Soho and Neo. Find your type!	
foodity.com	Foodity Technologies Ltd	Advertising	Foodity connects publishers, brands and retailers to create instantly shoppable content, ads or applications.	
forensics1000.com	Lead Forensics	Lead Generation	Lead Forensics is lead Generation Software that can make a real difference to your ROI and ultimately your business. Request a free demo and 7 day trial to learn more.	
foxycart.com	FoxyCart	Merchant Services	FoxyCart helps developers create powerful, custom ecommerce in less time, while equipping merchants with the fastest checkout flow available to their customers.	
freegeoip.net	(community-funded)	Geo Location	freegeoip.net is a public REST API for searching geolocation of IP addresses and host names.	
frienefit.com	Frienefit	Loyalty and Referral Marketing	frienefit is not only for ecommerce stores but can be used by any website looking to build a loyal user base, increase conversions (sales or otherwise) and/or drive additional traffic. Our platform pairs extensive functionality and customization with simple set-up and management.	
fstech.co.uk	Six Degrees Group	Internet Hosting	Six Degrees Group offers integrated managed communication services like datacenter co-location, managed hosting, cloud computing, Leased lines &amp; MPLS and IP Voice services for all your business needs.	
ftjcfx.com	CJ Affiliate by Conversant	Advertising	At CJ Affiliate by Conversant, we do things differently. We not only operate the most highly regarded affiliate marketing network in the world, we also deliver a wide range of pay for performance-based advertising opportunities to help companies drive growth. As a result, retailers on the Internet Retailer Top 500 list are 2X more likely to choose CJ over any other affiliate marketing provider. In fact, Internet Retailer recently ranked CJ as the No. 1 affiliate marketing provider “by a long shot” in the 2013 edition of their Leading Vendors To The Top 1000 E-Retailers ranking.	
fwmrm.net	freewheel.tv	Video Platform (Streaming)	FreeWheel gives enterprise-level media companies the infrastructure they need to create scaled, profitable content businesses in the new media landscape.	
fyre.co	Livefyre	Community & Discussion	At Livefyre we're passionate about building engaging real-time conversations and community for brands and digital publishers. Our suite of real-time products are defining a new breed of web and mobile experiences that boost website traffic, increase user engagement and drive revenue.	
g-ecx.images-amazon.com	Amazon	CDN Images	A domain used by Amazon Web Services to serve images at various sizes automatically.	
g.doubleclick.net	Google Adsense	Advertising	AdSense is a free, simple way to earn money by displaying targeted ads next to your online content. With AdSense, you can show relevant and engaging ads to your site visitors and even customize the look and feel of ads to match your website.	
gaug.es	Fastest Forward	Analytics	Analyze all your traffic in real time with our beautiful, easy to understand interface. Gauges helps you focus on the most actionable website traffic metrics - how many visitors come to your site, where they come from, and where they go.	
gdimg.net	Com Laude	Domain Services	Com Laude registers, maintains and renews domain names around the world for leading intellectual property owners and the law firms that support them.    	
gdmdigital.com	Global Digital Markets Limited, a VE Interact	Ad Real-time Bidding	GDM is a biddable media company. We help advertisers engage with their audience in real time, on a massive scale and across all connected devices.	
geckotribe.com	Gecko Tribe, LLC	Newsfeed Provider	RSS &amp; Atom tools, iMovie &amp; FileMaker Pro plug-ins and solutions, online chess, web design and more.	
geo.yieldifylabs.com	Yieldify	Analytics	Yieldify is an eCommerce solution that converts visitors into customers. We harness our multi-channel abandonment analytics platform to mould personalised buyer journeys for the modern, always-on consumer. Our expert teams build, manage and measure tailored on-site and email campaigns, across every channel. Our technology creates incremental value for top global brands by optimising their online conversion rates and driving lead generation.	
geoplugin.com	Geoplugin	Geo-location	geoPlugin is a free and easy webmaster resource to provide geolocation technology to your pages.	
geoplugin.net	Geoplugin	Geo-location	geoPlugin is a free and easy webmaster resource to provide geolocation technology to your pages.	
geotrust.com	GeoTrust Inc.	Website Security	Ensure SSL security with SSL certificates from GeoTrust. View our range of identity validation & document security services.	
getclicky.com	Roxr Software Ltd.	Analytics	Clicky Web Analytics is simply the best way to monitor, analyze, and react to your blog or web site's traffic in real time.	
getsentry.com	Sentry	Event Logging Platform	Sentry notifies you when your users experience errors in your web and mobile apps.	
gigya.com	Gigya Inc.	Social Plugins	Gigya offers social media tools to online businesses helping them integrate their sites with top social networks such as Facebook, Twitter, LinkedIn, Google+ &amp; more.	
github.io	Github	CDN JSLib	Websites for you and your projects. Hosted directly from your GitHub repository. Just edit, push, and your changes are live.	
gldsta-02-or.com	Lead Forensics	Analytics	With Lead Forensics you get complete access to who is visiting your site, what exactly they looked at while there and how to make contact with them. Lead Forensics delivers all this information through a simple sleek interface that allows you to easily assign leads to sales team members and access full contact and visitor information. So your sales team can be more empowered and more effective.	
globase.com	Globase International	Email Marketing	Globase International has provided and developed one of the market's leading online marketing technologies for customer segmentation and automated campaign management – online, offline and SMS.	
go-mpulse.net	Soasta	Performance	RUM — Real User Monitoring, delivered by SOASTA mPulse. mPulse captures and aggregates the performance and engagement metrics most important to your business—in real time—giving you the real-user intelligence you need to correlate the impact of performance on your bottom line, alert you with contextual information so you can take appropriate action, and feed critical information back into the development lifecycle.	
Google	plus.google.com	Social Media	Google Plus. Connect with friends and family, explore your interests, and see how all of Google gets better.	
google-analytics.com	Google	Analytics	Google Analytics lets you measure your advertising ROI as well as track your Flash, video, and social networking sites and applications.	
google.co.uk	Google	Advertising	The Google Display Network lets you place ads on a variety of news sites, blogs and other niche sites across the Internet to reach more potential customers	
google.com	Google	Advertising	The Google Display Network lets you place ads on a variety of news sites, blogs and other niche sites across the Internet to reach more potential customers	
googleadservices.com	Google	Advertising	Google AdSense is a program run by Google that allows publishers in the Google Network of content sites to serve automatic text, image, video, or interactive media advertisements, that are targeted to site content and audience. These advertisements are administered, sorted, and maintained by Google, and they can generate revenue on either a per-click or per-impression basis.	
googleapis.com	Google	CDN	googleapis.com is a domain used by Google APIs which is an widget company that is part of a network of sites, cookies, and other technologies used to track you, what you do and what you click on, as you go from site to site, surfing the Web	
googlecode.com	Google	CDN JSLib	Project Hosting on Google Code is fast, reliable, and easy open source hosting service.	
googlecommerce.com	Google	Payment Gateway	Increases conversions by streamlining your purchase flow on mobile apps and websites.	
googlesyndication.com	Google	Advertising	Google AdSense is a program run by Google that allows publishers in the Google Network of content sites to serve automatic text, image, video, or interactive media advertisements, that are targeted to site content and audience. These advertisements are administered, sorted, and maintained by Google, and they can generate revenue on either a per-click or per-impression basis.	
googletagmanager.com	Google	Tag Management	Google Tag Manager is free and easy, leaving more time and money to spend on your marketing campaigns. You manage your tags and configure your mobile applications yourself, with an easy-to-use web interface, rather than forcing you or your IT department to write or rewrite code.	
googletagservices.com	Google	Tag Management	Google Tag Manager makes it easy for marketers to add and update website tags -- including analytics, remarketing, and more.	
googleusercontent.com	Google	CDN	Google stores images in googleusercontent.com; it is a domain used for a variety of purposes, including cached copies of websites visited by the Google search engine, but the general purpose of this domain appears to be to store static content.	
gooo.al	Marcaria.com	Domain Services	Marcaria.com is a company specialized in the global registration and protection of trademarks and domain names, with presence in more than 220 countries and territories in the five continents.	
goshoplogic.com	Bloomreach	Marketing Platform	We give ecommerce merchants an intelligent way to optimize and manage promotions.	
goshowoff.com	ASP	Web Design	We provide websites and online marketing, mainly for the event, exhibition and conference market.	
gosquared.com	GoSquared	Analytics	GoSquared is the real-time analytics service that helps you act now, not tomorrow.	
gotraffic.net	Bloomberg	CDN	As the needs of the marketplace have evolved, rich data content and low latency market data have become important factors that determine success in high frequency algorithmic trading. Bloomberg is addressing this need by providing secure and reliable colocation, connectivity choice and interconnection services for Bloomberg&#039;s data services and Bloomberg Tradebook in third party data centers.	
granify.com	Granify Inc.	Accessibility	Granify flags your visitors while they shop. We identify with 95% accuracy which visitors are going to leave your site without buying — and more importantly the reason why. Granify learns from your traffic and gets smarter and smarter over time.	
grapeshot.co.uk	Grapeshot	Advertising	Grapeshot is a software technology company using advanced Information Retrieval techniques pioneered at Cambridge University. Our software searches and analyses keywords on billions of pages in real time, perfectly matching advertisers messages to relevant content instantly.	
graph.facebook.com	Facebook	Social Media	Facebook's social graph is the largest social network dataset in the world, and it contains the largest number of defined relationships between the largest number of people among all websites due to the fact that it is the most widely used social networking service in the world.	
gravatar.com	Automattic	Image Management	An "avatar" is an image that represents you online - a little picture that appears next to your name when you interact with websites. Gravatar is a free service for site owners, developers, and users. It is automatically included in every WordPress.com account and is run and supported by Automattic.	
grvcdn.com	Gravity (AOL)	Web Personalization	We've built a personalization engine framework called the Interest Graph, which is the set of things you care about and how much you care about them.	
gscontxt.net	Grapeshot	Advertising	We make advertising welcome, helping advertisers match their messages to related online content, ensuring the viewer will be interested in the advertising they see.	
gsipartners.com	eBay Enterprise	Web Design	eBay Enterprise (formerly GSI Commerce) is an eBay company specializing in creating, developing and running online shopping sites for brick and mortar brands and retailers.	
gstatic.com	Google	Tracking	Google is a powerful marketing tool that can help you grow your business. Every day millions of people search on Google to find products or services and many of them could be looking for products or services that you offer.	
guardian.co.uk	Guardian Media	Advertising	Essential information, tools and resources for media agencies.	
gumgum.com	GumGum	Advertising	GumGum is a new kind of display advertising platform, built on the fundamental belief that to be effective, ads must be relevant, engaging and viewable. Known best for its invention of in-image advertising, GumGum's products have since grown to include several display, mobile and video solutions to help brands tell their stories and publishers unlock new sources of revenue.	
gwallet.com	RadiumOne Inc.	Ad Real-time Bidding	RadiumOne touches millions of engaged consumers every day through RadiumOne Engage, a leading network of social media games and applications. With a value-exchange focus for Brand and Direct-response advertisers, we&#039;re able to drive hard completions and full brand engagement. The value to users? Premium content that they were otherwise never going to purchase. With over 90% of users never getting monetized, this offers a full circle opportunity for brands to directly engage with users and for users to continue engaging in their game.	
h4k5.com	DC Storm	Analytics	DC Storm's Measured Success arms digital businesses with marketing measurement, attribution, analysis and reporting to power data driven decisions.	
hawksearch.info	Thanx Media	Site Search	Thanx Media has helped hundreds of customers enhance their websites for an improved user experience resulting in higher conversions and revenues.	
heapanalytics.com	Heap	Analytics	Heap is web and mobile analytics that automatically captures everything. You can analyze data instantly and retroactively. No shipping code. No waiting for data.	
heatmap.it	Heatmap Inc.	Analytics	Know how users are interacting with your pages right now. Get the data you need, right on your content, with our technology inspired by augmented reality	
hellobar.com	Crazy Egg Inc.	Analytics	Through Crazy Egg's heat map and scroll map reports you can get an understanding of how your visitors engage with your website so you can boost your conversion rates.	
histats.com	Histats	Analytics	Histats.com Counter, the free web stats and stat counter, hit counter, free web tracker and tracking tools, professional and free!!	
hittail.com	The Numa Group	Search Engine Optimisation	HitTail, the long tail keyword tool, guarantees to increase your organic traffic by focusing on the most promising keywords in your existing traffic.	
hostingprod.com	Yahoo! Inc.	Internet Hosting	Secure hosting from Yahoo!	
hotjar.com	Hotjar	Analytics	See how visitors are really using your website, collect user feedback and turn more visitors into customers.	
hs-analytics.net	Hubspot Inc.	Marketing Platform	HubSpot is an inbound marketing software platform that helps companies attract visitors, convert leads, and close customers.	
hscta.net	HubSpot Inc.	Marketing Platform	HubSpot is an inbound marketing software platform that helps companies attract visitors, convert leads, and close customers.	
hsforms.net	HubSpot Inc.	Marketing Platform	HubSpot is an inbound marketing software platform that helps companies attract visitors, convert leads, and close customers.	
http://ati-host.net/	AT Internet	Analytics	Our Web Analytics solution has been designed to help drive your performance in real time on social networks, applications, Intranet and the web etc. The solution offers all of the features which are essential to carrying out an advanced analysis of your audience as standard, by integrating specific business modules: e-Commerce tracking, multichannel campaign analysis, performance monitoring, rich media tracking, dashboarding, data management (data import/export), etc.	
hubspot.com	Hubspot Inc.	Marketing Platform	HubSpot is an inbound marketing software platform that helps companies attract visitors, convert leads, and close customers.	
i-transactads.com	Response Team	Advertising	The only sales house in the country exclusively selling online media opportunities from leading e-commerce brands. We sell to advertisers who want to target online shoppers.	
iadvize.com	 iAdvize SAS	Live Support	iAdvize is a real-time online customer service solution (Click to Chat, Click to Call, Click to Video), combined with a behavioural targeting engine. Chosen by more than 1000 companies throughout Europe, iAdvize increases conversion rates and optimises customer satisfaction and loyalty.	
ibillboard.com	iBillboard	Advertising	iBILLBOARD is an international umbrella brand consisting of various products, all of which allow both Advertisers and Publishers to gain the most benefits. In order to distinguish the brand, we have created unique products which can be used separately. Providing a complete, fully automated advertising platform allows us to be the biggest RTB oriented technology provider in Central East European region.	
ibpxl.com	Internet Brands	Content Provision	Since launching in 1998 as CarsDirect.com, Internet Brands has grown to become a fully integrated online media and client services organization focused on four high-value vertical categories: Automotive, Health, Legal and Home / Travel.	
ic-live.com	iCrossing Inc.	Advertising	iCrossing is a global digital marketing agency that combines proprietary technology with top-notch talent to build connected brands that delight customers and deliver results.	
ic.com.au	WebWombat	Search Engine	Web Wombat is the original Australian search engine. We have Australian web search, motoring news, funny photos and more. Search Australia with Web Wombat.	
icnetwork.co.uk	Trinity Mirror Digital Media Ltd.	News Provider	All the latest news, sport and celebrity gossip at Mirror.co.uk. Get all the big headlines, pictures, analysis, opinion and video on the stories that matter to you.	
idio.co	Ido Ltd.	Customer Engagement	Unlock individual audience interests, manage and improve your Content Marketing strategy and increase customer engagement with idio's Content Intelligence.	
idsync.rlcdn.com	LiveRamp	Advertising	We help hundreds of brands connect their customer data to more than 120 digital marketing applications and media platforms. Here’s how our process works and what sets us apart.	
idtargeting.com	Realtime Targeting	Advertising	Realtime Targeting Management. Bring back your lost customers and boost your search with our simple retargeting platform. Find your lost customers today!	
igodigital.com	iGoDigital	Web Personalization	iGoDigital is the leading provider of ecommerce personalization solutions that support online retail. Request a demo of our ecommerce solutions and start increasing conversions and customer engagement.	
